paper_A_title,paper_B_title,paper_A_authors,paper_B_authors,similarity
SNARF: a learning-enhanced range filter,Bounding the last mile: Efficient learned string indexing,Kapil Vaidya and Subarna Chatterjee and Eric Knorr and Michael Mitzenmacher and Stratos Idreos and Tim Kraska,Benjamin Spector and Andreas Kipf and Kapil Vaidya and Chi Wang and Umar Farooq Minhas and Tim Kraska,0.9294
Dronescape: Designing an educational escape room for adult ai literacy,AI For Leadership: Implementation And Evaluation Of An AI Education Program,Daniella DiPaola and Jocelyn Shen and Rachelle Hu and Sharifa Alghowinem and Cynthia Breazeal,Aikaterini BAGIATI and Andrés F SALAZAR-GÓMEZ and Annalyn BACHMANN and Kathleen D KENNEDY and Cynthia BREAZEAL,0.9294
Neural circuit policies enabling auditable autonomy,Barriernet: A safety-guaranteed layer for neural networks,Mathias Lechner and Ramin Hasani and Alexander Amini and Thomas A Henzinger and Daniela Rus and Radu Grosu,Wei Xiao and Ramin Hasani and Xiao Li and Daniela Rus,0.9293
Revisiting the adversarial robustness-accuracy tradeoff in robot learning,On frank-wolfe adversarial training,Mathias Lechner and Alexander Amini and Daniela Rus and Thomas A Henzinger,Theodoros Tsiligkaridis and Jay Roberts,0.9293
Programming technologies for engineering quality multicore software,Composing Parallel Runtime Systems: A Case Study in How to Compose the Julia and OpenCilk Runtimes,Tim Tim FS Kaler,Tim Kralj,0.9293
Breeds: Benchmarks for subpopulation shift,When does bias transfer in transfer learning?,Shibani Santurkar and Dimitris Tsipras and Aleksander Madry,Hadi Salman and Saachi Jain and Andrew Ilyas and Logan Engstrom and Eric Wong and Aleksander Madry,0.9292
Quantization-aware interval bound propagation for training certifiably robust quantized neural networks,Fast training of deep neural networks robust to adversarial perturbations,Mathias Lechner and Đorđe Žikelić and Krishnendu Chatterjee and Thomas A Henzinger and Daniela Rus,Justin Goodwin and Olivia Brown and Victoria Helus,0.9292
Hydra: A real-time spatial perception system for 3D scene graph construction and optimization,Indoor and outdoor 3d scene graph generation via language-enabled spatial ontologies,Nathan Hughes and Yun Chang and Luca Carlone,Jared Strader and Nathan Hughes and William Chen and Alberto Speranzon and Luca Carlone,0.9291
Learning a natural-language to LTL executable semantic parser for grounded robotics,Compositional networks enable systematic generalization for grounded language understanding,Christopher Wang and Candace Ross and Yen-Ling Kuo and Boris Katz and Andrei Barbu,Yen-Ling Kuo and Boris Katz and Andrei Barbu,0.9291
Redeeming intrinsic rewards via constrained optimization,Beyond uniform sampling: Offline reinforcement learning with imbalanced datasets,Eric Chen and Zhang-Wei Hong and Joni Pajarinen and Pulkit Agrawal,Zhang-Wei Hong and Aviral Kumar and Sathwik Karnik and Abhishek Bhandwaldar and Akash Srivastava and Joni Pajarinen and Romain Laroche and Abhishek Gupta and Pulkit Agrawal,0.9291
Iceberg hashing: Optimizing many hash-table criteria at once,"Increment-and-freeze: Every cache, everywhere, all of the time",Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini,Michael A Bender and Daniel DeLayo and Bradley C Kuszmaul and William Kuszmaul and Evan West,0.9291
Green paging and parallel paging,The variable-processor cup game,Kunal Agrawal and Michael A Bender and Rathish Das and William Kuszmaul and Enoch Peserico and Michele Scquizzato,William Kuszmaul and Alek Westover,0.9291
Bayesian neural ordinary differential equations,TENG: Time-evolving natural gradient for solving PDEs with deep neural nets toward machine precision,Raj Dandekar and Karen Chung and Vaibhav Dixit and Mohamed Tarek and Aslan Garcia-Valadez and Krishna Vishal Vemula and Chris Rackauckas,Zhuo Chen and Jacob McCarran and Esteban Vizcaino and Marin Soljačić and Di Luo,0.929
Flushing without cascades,Linear probing revisited: Tombstones mark the demise of primary clustering,Michael A Bender and Rathish Das and Martín Farach-Colton and Rob Johnson and William Kuszmaul,Michael A Bender and Bradley C Kuszmaul and William Kuszmaul,0.929
Efficiently approximating edit distance between pseudorandom strings,"A hash table without hash functions, and how to get the most out of your random bits",William Kuszmaul,William Kuszmaul,0.929
How asymmetry helps buffer management: achieving optimal tail size in cup games,Optimal time-backlog tradeoffs for the variable-processor cup game,William Kuszmaul,William Kuszmaul and Shyam Narayanan,0.929
The Locality-First Strategy for Developing Efficient Multicore Algorithm,Speedcode: Software Performance Engineering Education via the Coding of Didactic Exercises,Helen Jiang Xu,Tim Kaler and Xuhao Chen and Brian Wheatman and Dorothy Curtis and Bruce Hoppe and Tao B Schardl and Charles E Leiserson,0.929
On the optimal time/space tradeoff for hash tables,Towards an Analysis of Quadratic Probing,Michael A Bender and Martín Farach-Colton and John Kuszmaul and William Kuszmaul and Mingmou Liu,William Kuszmaul and Zoe Xi,0.9289
Learning stability attention in vision-based end-to-end driving policies,Are all vision models created equal? a study of the open-loop to closed-loop causality gap,Tsun-Hsuan Wang and Wei Xiao and Makram Chahine and Alexander Amini and Ramin Hasani and Daniela Rus,Mathias Lechner and Ramin Hasani and Alexander Amini and Tsun-Hsuan Wang and Thomas A Henzinger and Daniela Rus,0.9289
Brief announcement: Fast concurrent cuckoo kick-out eviction schemes for high-density tables,Efficient d-ary Cuckoo Hashing at High Load Factors by Bubbling Up,William Kuszmaul,William Kuszmaul and Michael Mitzenmacher,0.9289
Programming technologies for engineering quality multicore software,Optimizing Parallel Performance with Work and Span in the OpenCilk Compiler,Tim Tim FS Kaler,Nikhil Reddy,0.9289
A green (er) world for ai,Interventions to Reduce AI Energy Requirements,Dan Zhao and Nathan C Frey and Joseph McDonald and Matthew Hubbell and David Bestor and Michael Jones and Andrew Prout and Vijay Gadepally and Siddharth Samsi,Daniel Edelman and Joseph McDonald and David Bestor and Michael Jones and Baolin Li and Devesh Tiwari and Dan Zhao and Siddharth Samsi and Vijay Gadepally,0.9288
Approximating robot configuration spaces with few convex sets using clique covers of visibility graphs,"Finding and Optimizing Certified, Collision-Free Regions in Configuration Space for Robot Manipulators",Peter Werner and Alexandre Amice and Tobia Marcucci and Daniela Rus and Russ Tedrake,Russ Tedrake,0.9287
Data-driven blind synchronization and interference rejection for digital communication signals,On neural architectures for deep learning-based source separation of co-channel OFDM signals,Alejandro Lancho and Amir Weiss and Gary CF Lee and Jennifer Tang and Yuheng Bu and Yury Polyanskiy and Gregory W Wornell,Gary CF Lee and Amir Weiss and Alejandro Lancho and Yury Polyanskiy and Gregory W Wornell,0.9287
Hypersparse traffic matrix construction using GraphBLAS on a DPU,Anonymized Network Sensing Graph Challenge,William Bergeron and Michael Jones and Chase Barber and Kale DeYoung and George Amariucai and Kaleb Ernst and Nathan Fleming and Peter Michaleas and Sandeep Pisharody and Nathan Wells and Antonio Rosa and Eugene Vasserman and Jeremy Kepner,Hayden Jananthan and Michael Jones and William Arcand and David Bestor and William Bergeron and Daniel Burrill and Aydin Buluc and Chansup Byun and Timothy Davis and Vijay Gadepally and Daniel Grant and Michael Houle and Matthew Hubbell and Piotr Luszczek and Peter Michaleas and Lauren Milechin and Chasen Milner and Guillermo Morales and Andrew Morris and Julie Mullen and Ritesh Patel and Alex Pentland and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Gabriel Wachman and Charles Yee and Jeremy Kepner,0.9287
Nearly Optimal List Labeling,A Nearly Quadratic Improvement for Memory Reallocation,Michael A Bender and Alex Conway and Martín Farach-Colton and Hanna Komlós and Michal Koucký and William Kuszmaul and Michael Saks,Martin Farach-Colton and William Kuszmaul and Nathan S Sheffield and Alek Westover,0.9287
"Great power, great responsibility: Recommendations for reducing energy for training language models",Clover: Toward sustainable ai with carbon-aware machine learning inference service,Joseph McDonald and Baolin Li and Nathan Frey and Devesh Tiwari and Vijay Gadepally and Siddharth Samsi,Baolin Li and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,0.9286
A parallel packed memory array to store dynamic graphs,Prashant Pandey,Brian Wheatman and Helen Xu,Helen Xu and Aydin Buluc,0.9286
Characterizing multi-instance gpu for machine learning workloads,AIKIDO: toward straggler mitigation for distributed machine learning training in cloud data centers,Baolin Li and Viiay Gadepally and Siddharth Samsi and Devesh Tiwari,Ayush Sharma,0.9286
Flushing without cascades,Incremental edge orientation in forests,Michael A Bender and Rathish Das and Martín Farach-Colton and Rob Johnson and William Kuszmaul,Michael A Bender and Tsvi Kopelowitz and William Kuszmaul and Ely Porat and Clifford Stein,0.9286
NICE: Robust scheduling through reinforcement learning-guided integer programming,Applying Human-Centered Design to AI-Enabled Pilot Scheduling,Luke Kenworthy and Siddharth Nayak and Christopher Chin and Hamsa Balakrishnan,Amy L Alexander and Audrey Haque and Michael Snyder and Rachael Kusiak and Brice Okubo and Kathie Chung and Eric Robinson,0.9286
Improving the Performance of Parallel Loops in OpenCilk,Continuation Stealing in Julia,Luka Govedic,August Trollback,0.9286
Do GANs always have Nash equilibria?,"Train simultaneously, generalize better: Stability of gradient-based minimax learners",Farzan Farnia and Asuman Ozdaglar,Farzan Farnia and Asuman Ozdaglar,0.9285
On the optimal time/space tradeoff for hash tables,"A hash table without hash functions, and how to get the most out of your random bits",Michael A Bender and Martín Farach-Colton and John Kuszmaul and William Kuszmaul and Mingmou Liu,William Kuszmaul,0.9285
Interventions to Reduce AI Energy Requirements,An Analysis of Energy Requirement for Computer Vision Algorithms,Daniel Edelman and Joseph McDonald and David Bestor and Michael Jones and Baolin Li and Devesh Tiwari and Dan Zhao and Siddharth Samsi and Vijay Gadepally,Daniel Edelman and Siddharth Samsi and Joseph McDonald and Adam Michaleas and Vijay Gadepally,0.9285
Network requirements for distributed machine learning training in the cloud,DASH: Scheduling deep learning workloads on multi-generational GPU-accelerated clusters,James Salamy,Baolin Li and Tirthak Patel and Vijay Gadepally and Karen Gettings and Siddharth Samsi and Devesh Tiwari,0.9285
"Increment-and-freeze: Every cache, everywhere, all of the time",In-Place Parallel-Partition Algorithms using Exclusive-Read-and-Write Memory,Michael A Bender and Daniel DeLayo and Bradley C Kuszmaul and William Kuszmaul and Evan West,William Kuszmaul and Alek Westover,0.9285
Tight Analyses of Ordered and Unordered Linear Probing,Nearly Optimal List Labeling,Mark Braverman and William Kuszmaul,Michael A Bender and Alex Conway and Martín Farach-Colton and Hanna Komlós and Michal Koucký and William Kuszmaul and Michael Saks,0.9285
Automated translation and accelerated solving of differential equations on multiple GPU platforms,Batched sparse and mixed-precision linear algebra interface for efficient use of GPU hardware accelerators in scientific applications,Utkarsh Utkarsh and Valentin Churavy and Yingbo Ma and Tim Besard and Prakitr Srisuma and Tim Gymnich and Adam R Gerlach and Alan Edelman and George Barbastathis and Richard D Braatz and Christopher Rackauckas,Piotr Luszczek and Ahmad Abdelfattah and Hartwig Anzt and Atsushi Suzuki and Stanimire Tomov,0.9284
Can learned models replace hash functions?,IcebergHT: High performance PMEM hash tables through stability and low associativity,Ibrahim Sabek and Kapil Vaidya and Dominik Horn and Andreas Kipf and Michael Mitzenmacher and Tim Kraska,Prashant Pandey and Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini and Rob Johnson,0.9284
NICE: Robust scheduling through reinforcement learning-guided integer programming,Air force crew scheduling: An integer optimization approach,Luke Kenworthy and Siddharth Nayak and Christopher Chin and Hamsa Balakrishnan,Matthew J Koch,0.9284
Dribblebot: Dynamic legged manipulation in the wild,Learning force control for legged manipulation,Yandong Ji and Gabriel B Margolis and Pulkit Agrawal,Tifanny Portela and Gabriel B Margolis and Yandong Ji and Pulkit Agrawal,0.9283
The one-way communication complexity of dynamic time warping distance,Binary dynamic time warping in linear time,Vladimir Braverman and Moses Charikar and William Kuszmaul and David P Woodruff and Lin F Yang,William Kuszmaul,0.9283
Cilkmem: Algorithms for analyzing the memory high-water mark of fork-join parallel programs,Combining Task Parallelism and Multithreaded Concurrency,Tim Kaler and William Kuszmaul and Tao B Schardl and Daniele Vettorel,Sai Sameer Pusapaty,0.9283
Batched sparse and mixed-precision linear algebra interface for efficient use of GPU hardware accelerators in scientific applications,Optimizing Compression Schemes for Parallel Sparse Tensor Algebra,Piotr Luszczek and Ahmad Abdelfattah and Hartwig Anzt and Atsushi Suzuki and Stanimire Tomov,Helen Xu and Tao B Schardl and Michael Pellauer and Joel S Emer,0.9283
The computational limits of deep learning,Benchmarking resource usage for efficient distributed deep learning,Neil C Thompson and Kristjan Greenewald and Keeheon Lee and Gabriel F Manso,Nathan C Frey and Baolin Li and Joseph McDonald and Dan Zhao and Michael Jones and David Bestor and Devesh Tiwari and Vijay Gadepally and Siddharth Samsi,0.9282
Equivariant contrastive learning,Surrogate-and invariance-boosted contrastive learning for data-scarce applications in science,Rumen Dangovski and Li Jing and Charlotte Loh and Seungwook Han and Akash Srivastava and Brian Cheung and Pulkit Agrawal and Marin Soljačić,Charlotte Loh and Thomas Christensen and Rumen Dangovski and Samuel Kim and Marin Soljačić,0.9282
